orgid,pulseid,manager,q1_s,q2_s,q3_s,q4_s,q5_s,q6_s,q7_s,q8_s,q9_s,q10_s,gender,ethnic,los,wave,group,stratum,sector,female_mgr,progress,num_managers,org_nor
esorg101,espulse1001,No,4,Disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Female,British,4,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1002,No,10,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Female,British,0,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1003,Yes,9,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Female,British,2,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1004,Yes,5,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Male,British,4,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1005,Yes,1,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Female,British,3,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1006,Yes,7,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Other,White and Asian,4,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1007,Yes,8,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Male,British,0,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1008,Yes,8,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Female,British,4,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1009,No,9,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,2,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1010,Yes,7,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Female,British,3,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1011,Yes,10,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Male,British,0,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1012,Yes,9,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Female,British,5,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1013,Yes,8,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Male,British,0,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1014,Yes,9,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Female,British,1,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1015,No,8,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Female,British,3,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1016,No,8,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Strongly Agree,Female,British,2,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1017,No,8,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Female,British,8,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1018,No,4,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Female,British,1,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1019,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Male,I do not wish to disclose my ethnic origin,3,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1020,Yes,7,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Male,British,2,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1021,No,5,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Female,British,19,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1022,Yes,10,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Male,British,2,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1023,Yes,8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Female,British,7,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1024,No,6,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Female,British,2,2,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1025,Yes,7,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Female,British,35,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1026,No,3,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Male,British,9,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1027,No,10,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,20,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1028,No,7,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Female,Other,4,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1029,No,6,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Female,British,6,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1030,No,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Female,British,2,2,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1031,No,4,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,Female,British,7,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1032,Yes,8,Strongly Agree,Agree,Agree,Don't know,Strongly Disagree,Don't know,Strongly Agree,Agree,Neither agree nor disagree,Male,British,5,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1033,No,7,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Female,British,2,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1034,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Strongly Agree,Female,British,20,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1035,Yes,8,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Female,British,12,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1036,Yes,9,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Male,British,3,2,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1037,No,6,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Other,British,1,2,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1038,Yes,8,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Female,British,0,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1039,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,4,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1040,Yes,9,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Female,British,7,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1041,Yes,1,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Female,British,2,1,Treatment,2,101Care,0.8,0.44,55,110
esorg101,espulse1042,Yes,9,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Female,British,0,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1043,No,7,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Female,British,7,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1044,No,9,Agree,Agree,Neither agree nor disagree,Don't know,Disagree,Don't know,Neither agree nor disagree,Agree,Agree,Female,British,2,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1045,Yes,9,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,British,5,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1046,Yes,8,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Female,British,16,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1047,Yes,8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,British,4,2,Control,1,101Care,0.8,0.44,55,110
